disposition	standard	vetted
EXCH. UNIV. OF OKLAHOMA, 3 JAN 1955	voucher elsewhere	1
EXCH. UNIVERSITY OF DAKOTA JUNE 15, 1920	voucher elsewhere	1
EXCH. W. NETTERSTROM OSTERSUND SWEDEN 1-6-54	voucher elsewhere	1
EXCH. W.[ILLEG][ILLEG] ROSENBERG, SEP 192[ILLEG]	voucher elsewhere	1
EXCH. W.F. H. ROSENBERG, SEPT 1921	voucher elsewhere	1
EXCH. W.F. ROSENBERG, SEPT 1921	voucher elsewhere	1
EXCH. W.F.H ROSENBERG, SEPT 1921	voucher elsewhere	1
EXCH. W.F.H. ROSENBERG , SEPT 1921	voucher elsewhere	1
EXCH. W.F.H. ROSENBERG SEPT 1921	voucher elsewhere	1
EXCH. W.F.H. ROSENBERG, SEPT 1921	voucher elsewhere	1
EXCH. W.F.H. ROSENBERG, SEPT. 1921	voucher elsewhere	1
EXCH. W.F.H. ROSENBERG. SEPT 1921	voucher elsewhere	1
EXCH. W/W. FERGUSON 1/18/65	voucher elsewhere	1
EXCH. WALTER KOELZ, APRIL 1926	voucher elsewhere	1
EXCH. WITH "TRING MUSEUM" MAY 1927	voucher elsewhere	1
EXCH. WITH [SACTHRICK ILLEG.,] FEB. 27,'91	voucher elsewhere	1
EXCH. WITH A. ? ANTHONY  DEC 15/93 [ILLEG.]	voucher elsewhere	1
EXCH. WITH A.C. CONNOR, N.L., MAY 1927	voucher elsewhere	1
EXCH. WITH A.C. O'CONNOR, 14 JUN 1929	voucher elsewhere	1
EXCH. WITH A.C. O'CONNOR, JUNE 14, 1929	voucher elsewhere	1
EXCH. WITH A.C. O'CONNOR, JUNE 14,1929	voucher elsewhere	1
EXCH. WITH A.C. OCONNOR, N.Z., MAY 1927	voucher elsewhere	1
EXCH. WITH A.C. O'CONNOR, N.Z., MAY 1927	voucher elsewhere	1
EXCH. WITH A.C.O'CONNOR, JUNE 14,1929	voucher elsewhere	1
EXCH. WITH A.C.O'CONNOR, JUNE 1929	voucher elsewhere	1
EXCH. WITH A.E. SOUTHWISE [ILLEG.]	voucher elsewhere	1
EXCH. WITH A.G. PAINE,JR., DEC 1,1886	voucher elsewhere	1
EXCH. WITH A.H. THAYER	voucher elsewhere	1
EXCH. WITH A.T. WAYNE, 1 APR 1902	voucher elsewhere	1
EXCH. WITH ACAD. NAT. SCI. PHILA., JUL 1928	voucher elsewhere	1
EXCH. WITH ACADEMY OF NAT. SCIENCES, PHILA., JUL 1	voucher elsewhere	1
EXCH. WITH ASHLEY HINE BANFF, ALBERTA JULY 31, 190	voucher elsewhere	1
EXCH. WITH ASHLEY HINE, BANFF, ALBERTA, 31 JUL 190	voucher elsewhere	1
EXCH. WITH BERLIN MUS. JULY 1936	voucher elsewhere	1
EXCH. WITH BERLIN MUS., JULY 1926	voucher elsewhere	1
EXCH. WITH BERLIN MUSEUM JULY 1936	voucher elsewhere	1
EXCH. WITH BERLIN MUSEUM, JULY 1936	voucher elsewhere	1
EXCH. WITH BERLIN ZOOLOGICAL MUS., NOV 1,1930	voucher elsewhere	1
EXCH. WITH BRIT. MUS., JUN 1930	voucher elsewhere	1
EXCH. WITH BRITISH MUS.	voucher elsewhere	1
EXCH. WITH BRITISH MUS., SEPT 1927	voucher elsewhere	1
EXCH. WITH BRITISH MUSEUM, SEPT 1927	voucher elsewhere	1
EXCH. WITH BROWN UNIV.	voucher elsewhere	1
EXCH. WITH BROWN UNIV. OCT 9/90	voucher elsewhere	1
EXCH. WITH BROWN UNIV. OCT. 7/90	voucher elsewhere	1
EXCH. WITH C.A. SMITH AND RECEIVING BACK IN HIS CO	voucher elsewhere	1
EXCH. WITH C.A. SMITH MAY 15/90	voucher elsewhere	1
EXCH. WITH C.A. SMITH, MAY 10/90	voucher elsewhere	1
EXCH. WITH C.B. CORY	voucher elsewhere	1
EXCH. WITH CARLOS REED, MENDOZA FEB 9, 1917	voucher elsewhere	1
EXCH. WITH CARLOS REED, MENDOZA, FEB 9, 1917	voucher elsewhere	1
EXCH. WITH CARLOS REEDS MENDOZA, FEB 9, 1917	voucher elsewhere	1
EXCH. WITH CARLOS REEDS, MENDOZA FEB. 9, 1917	voucher elsewhere	1
EXCH. WITH CARLOS REEDS, MENDOZA, FEB 9, 1917	voucher elsewhere	1
EXCH. WITH CARLOS REEDS, MENDOZA, FEB. 9, 1917	voucher elsewhere	1
EXCH. WITH CARLOS REEDS. MENDOZA. 9 FEB 1917	voucher elsewhere	1
EXCH. WITH CARNEGIE MUS, 15 JUN 1929	voucher elsewhere	1
EXCH. WITH CARNEGIE MUS. JUNE 14, 1929	voucher elsewhere	1
EXCH. WITH CARNEGIE MUS. JUNE 15 1929	voucher elsewhere	1
EXCH. WITH CARNEGIE MUS. JUNE 15, 1929	voucher elsewhere	1
EXCH. WITH CARNEGIE MUS., JUNE 14, 1929	voucher elsewhere	1
EXCH. WITH CARNEGIE MUS., JUNE 15, 1929	voucher elsewhere	1
EXCH. WITH CARNEGIE MUS., JUNE 1929	voucher elsewhere	1
EXCH. WITH CARNEGIE MUSEUM, JUNE 15, 1925	voucher elsewhere	1
EXCH. WITH CARNEGIE MUSEUM, JUNE 15, 1929	voucher elsewhere	1
EXCH. WITH CH[ILLEG] FOO MUS., THROUGH REV. GEO. C	voucher elsewhere	1
EXCH. WITH CHARLES REEDS, MENDOZA FEB 4, 1917	voucher elsewhere	1
EXCH. WITH CHEE FOO MUS. THROUGH REV GEO CORNWALL,	voucher elsewhere	1
EXCH. WITH CHEE FOO MUS. THROUGH REV. GEO. CORNWAL	voucher elsewhere	1
EXCH. WITH CHEE FOO MUS., 28 JUN 1901	voucher elsewhere	1
EXCH. WITH CHEE FOO MUS., CHINA, THROUGH REV. GEO.	voucher elsewhere	1
EXCH. WITH CHEE FOO MUS., THRO' REV. GEO. CORNWALL	voucher elsewhere	1
EXCH. WITH CHEE FOO MUS., THRO'GEO. CORNWALL, JUNE	voucher elsewhere	1
EXCH. WITH CHEE FOO MUS., THROUGH REV. GEO. CORNWA	voucher elsewhere	1
EXCH. WITH CHEE FOO MUSEUM, 28 JUN 1901 BY REV. GE	voucher elsewhere	1
EXCH. WITH CHEE FOO MUSEUM, JUNE 28, 1901	voucher elsewhere	1
EXCH. WITH CHEE FOO MUSEUM, THROUGH REV. GEO. CORN	voucher elsewhere	1
EXCH. WITH CHEE FOO, CHINA MUS. THRO' REV. GEO COR	voucher elsewhere	1
EXCH. WITH CHEE FOO, CHINA, MUS., THRO' REV. GEO. 	voucher elsewhere	1
EXCH. WITH CHEE-FOO MUSEUM THROUGH REV GEO. CORNWA	voucher elsewhere	1
EXCH. WITH CLEVELAND FEB. 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUS, 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUS, FEB 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUS. FAB. 1928	voucher elsewhere	1
EXCH. WITH CLEVELAND MUS. FB 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUS. FEB 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUS. FEB. 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUS., FEB 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUSEUM FEB. 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUSEUM FEB. 1938	voucher elsewhere	1
EXCH. WITH CLEVELAND MUSEUM, FEB 1926	voucher elsewhere	1
EXCH. WITH CLEVELAND MUSEUM, JUN 1927	voucher elsewhere	1
EXCH. WITH CLEVELAND, FEB 1926	voucher elsewhere	1
EXCH. WITH COUNT VON BERLEPSCH, FEB.'05	voucher elsewhere	1
EXCH. WITH D. BANYS, MAY 16,'05	voucher elsewhere	1
EXCH. WITH D. BANYS, MAY 16'05	voucher elsewhere	1
EXCH. WITH DOMINION MUS, - N.Z.	voucher elsewhere	1
EXCH. WITH DR. C.E. HELLMAYR, MÜNCHEN, GERMANY. SE	voucher elsewhere	1
EXCH. WITH DR. E. STRESEMANN, BERLIN ZOOLOGICAL MU	voucher elsewhere	1
EXCH. WITH DR. E.W. NELSON JULY 1925-BIOL. SURVEY	voucher elsewhere	1
EXCH. WITH DR. E.W. NELSON, JULY 1925-BIOL. SURVEY	voucher elsewhere	1
EXCH. WITH DR. E.W. NELSON, JULY 1925-BIOL.SURVEY	voucher elsewhere	1
EXCH. WITH DR. L.C. SANFORD	voucher elsewhere	1
EXCH. WITH DR. L.C. SANFORD COLLECTION, 28 MAY 195	voucher elsewhere	1
EXCH. WITH DR. L.C. SANFORD FEB. 1919	voucher elsewhere	1
EXCH. WITH DR. L.C. SANFORD SEPT. [1913 ILLEG.]	voucher elsewhere	1
EXCH. WITH DR. L.C. SANFORD SEPT. 1917	voucher elsewhere	1
EXCH. WITH DR. L.C. SANFORD, FEB 1919	voucher elsewhere	1
EXCH. WITH DR. L.C. SANFORD, SEP 1917	voucher elsewhere	1
EXCH. WITH DR. L.C. SANFORD, SEPT. 1917	voucher elsewhere	1
EXCH. WITH DR. L.C.SANFORD, SEPT.1917	voucher elsewhere	1
EXCH. WITH DR. RUSLY 7/8/96	voucher elsewhere	1
EXCH. WITH DR. STRESEMAN-BERLIN MUSEUM, MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMAN-BERLIN MUSEUM-MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMANN - BERLIN - MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMANN BERLIN MUS.-MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMANN BERLIN MUSEUM - MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMANN BERLIN MUSEUM, MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMANN, BERLIN MUSEUM, MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMANN, BERLIN MUSEUM-MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMANN-BERLIN MUS.-MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESEMANN-BERLIN MUSEUM-MAY 1927	voucher elsewhere	1
EXCH. WITH DR. STRESSEMANN-BERLIN MUSEUM-MAY 1927	voucher elsewhere	1
EXCH. WITH E. LEHN SCHIÖLER, JANUARY 1927	voucher elsewhere	1
EXCH. WITH E. LEHN SCHIOLER, SENT JAN. 1927	voucher elsewhere	1
EXCH. WITH E.N. FAULKS FOR 78120, 16 SEP 1902	voucher elsewhere	1
EXCH. WITH E.T. SETON, APR 1918	voucher elsewhere	1
EXCH. WITH E.T. SETON, APRIL 1918	voucher elsewhere	1
EXCH. WITH E.T.SETON, APRIL 1918	voucher elsewhere	1
EXCH. WITH EXCH. DWITH M.C.Z. JULY 1928 JULY 1928 	voucher elsewhere	1
EXCH. WITH F.O. JOHNSON MAY 20, 1889	voucher elsewhere	1
EXCH. WITH FUERTES, 1906	voucher elsewhere	1
EXCH. WITH G. KOHN NOV 29/90	voucher elsewhere	1
EXCH. WITH G. KOHN NOV. 29/90	voucher elsewhere	1
EXCH. WITH H.B. CONOVER, FIELD MUS., 7 OCT 1929	voucher elsewhere	1
EXCH. WITH H.K. COALE DEC 4, 1913	voucher elsewhere	1
EXCH. WITH H.K. COALE- ILLINOIS-DEC 4, 1924	voucher elsewhere	1
EXCH. WITH H.K. COALE JAN 1920	voucher elsewhere	1
EXCH. WITH H.K. COALE JAN. 1920	voucher elsewhere	1
EXCH. WITH H.K. COALE MARCH '10	voucher elsewhere	1
EXCH. WITH H.K. COALE, 4 DEC 1913	voucher elsewhere	1
EXCH. WITH H.K. COALE, CHICAGO, ILL., 24 APR 1907	voucher elsewhere	1
EXCH. WITH H.K. COALE, DEC 4, 1913	voucher elsewhere	1
EXCH. WITH H.K. COALE, FEB 18, '07	voucher elsewhere	1
EXCH. WITH H.K. COALE, FEB 18, '07; GIVEN IN EXCHA	voucher elsewhere	1
EXCH. WITH H.K. COALE, FEB. 1910	voucher elsewhere	1
EXCH. WITH H.K. COALE, ILLINOIS, 4 DEC 1924	voucher elsewhere	1
EXCH. WITH H.K. COALE, ILLINOIS, 4 DEC 1925	voucher elsewhere	1
EXCH. WITH H.K. COALE, JAN 1920	voucher elsewhere	1
EXCH. WITH H.K. COALE, JAN. 1920	voucher elsewhere	1
EXCH. WITH H.K. COALE-DEC 4, 1924	voucher elsewhere	1
EXCH. WITH H.K. COALE-ILLINOIS-DEC 4, 1924	voucher elsewhere	1
EXCH. WITH H.K. COALS, JAN 1920	voucher elsewhere	1
EXCH. WITH IM.COL.AGR. JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP COL.AGR. JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP COL.AGR. JAPAN OCT.'08	voucher elsewhere	1
EXCH. WITH IMP CONAGR. JAPAN, DEC,09	voucher elsewhere	1
EXCH. WITH IMP,COL.AGR. JAPAN DEC'09	voucher elsewhere	1
EXCH. WITH IMP,COL.AGR.JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP. COL AGR. JAPAN, OCT 1908	voucher elsewhere	1
EXCH. WITH IMP. COL. AGR. JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP. COL. AGR. JAPAN, DEC 1909	voucher elsewhere	1
EXCH. WITH IMP. COL. AGR. JAPAN, OCT 1908	voucher elsewhere	1
EXCH. WITH IMP. COL. AGR. JAPAN; DEC 1909	voucher elsewhere	1
EXCH. WITH IMP. COL. AGR., JAPAN, DEC '09	voucher elsewhere	1
EXCH. WITH IMP. COL. AGR., JAPAN, OCT. '08	voucher elsewhere	1
EXCH. WITH IMP. COL.AGR, JAPAN, DEC '09	voucher elsewhere	1
EXCH. WITH IMP. COL.AGR. JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP. COL.AGR. JAPAN OCT.'08	voucher elsewhere	1
EXCH. WITH IMP. COL.AGR., JAPAN DEC. '09	voucher elsewhere	1
EXCH. WITH IMP. COL.AGR., JAPAN, OCT '08	voucher elsewhere	1
EXCH. WITH IMP. COLL. AGR. JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.CAL. AGR.-JAPAN DEC '09	voucher elsewhere	1
EXCH. WITH IMP.CO..AGR. JAPAN, OCT '08	voucher elsewhere	1
EXCH. WITH IMP.CO.AGR. JAPAN OCT '08	voucher elsewhere	1
EXCH. WITH IMP.CO.AGR., JAPAN, OCT '08	voucher elsewhere	1
EXCH. WITH IMP.COL. AGR. JAPAN, OCT '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN  OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN DEC '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN DEC '09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN DEC. '09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN DEC.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN DEC'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN OCT '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN OCT. '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN OCT'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, DEC '09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, DEC.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, DEC'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, OCT '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, OCT. '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, OCT.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN, OCT'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN,DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN,OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. JAPAN'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR. OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN DEC '09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN DEC.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN DEC.'9	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN OCT '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN OCT. '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN OCT'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN, DEC '09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN, DEC. '09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN, DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN, OCT '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN, OCT. '08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR., JAPAN, OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR.,JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR.JAPAN OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR.JAPAN OCT'08	voucher elsewhere	1
EXCH. WITH IMP.COL.AGR.M JAPAN, OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COLL.AGR. JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH IMP.COLL.AGR. JAPAN DEC'09	voucher elsewhere	1
EXCH. WITH IMP.COLL.AGR. JAPAN OCT.'08	voucher elsewhere	1
EXCH. WITH IMP.COLL.AGR. JAPAN, DEC '09	voucher elsewhere	1
EXCH. WITH IMP.COLL.AGR. JAPAN, DEC.'09	voucher elsewhere	1
EXCH. WITH IMPCOL.AGE. JAPAN DEC.'09	voucher elsewhere	1
EXCH. WITH JOHN E. THAYER, LANCASTER, MASS., 25 JU	voucher elsewhere	1
EXCH. WITH KNY - S. CO., MAR 1902	voucher elsewhere	1
EXCH. WITH L.A. FUERTES, 1906	voucher elsewhere	1
EXCH. WITH LOUIS MOLNAR SEPT. 10,1890	voucher elsewhere	1
EXCH. WITH LOUIS MOLNAR SEPT.OCT '09 [ILLEG.]	voucher elsewhere	1
EXCH. WITH LOUIS MOLNAR, SEPT 10,1890	voucher elsewhere	1
EXCH. WITH M.C.Z JULY 1928	voucher elsewhere	1
EXCH. WITH M.C.Z, JUL 1928	voucher elsewhere	1
EXCH. WITH M.C.Z.	voucher elsewhere	1
EXCH. WITH M.C.Z. 1928	voucher elsewhere	1
EXCH. WITH M.C.Z. JULU 1928	voucher elsewhere	1
EXCH. WITH M.C.Z. JULY 1928	voucher elsewhere	1
EXCH. WITH M.C.Z. JULY, 1928	voucher elsewhere	1
EXCH. WITH M.C.Z. JULY1928	voucher elsewhere	1
EXCH. WITH M.C.Z., JUL 1928	voucher elsewhere	1
EXCH. WITH M.C.Z., JULY	voucher elsewhere	1
EXCH. WITH M.C.Z., JULY 1928	voucher elsewhere	1
EXCH. WITH MEINERZHAGEN JUNE 1924	voucher elsewhere	1
EXCH. WITH MR. A.C. O'CONNOR, 14 JUN 1929	voucher elsewhere	1
EXCH. WITH MR. E.J. SETON, MAY 24, 1928	voucher elsewhere	1
EXCH. WITH MR. E.T. SETON MAY 24, 1928	voucher elsewhere	1
EXCH. WITH MR. E.T. SETON MAY 24,1928	voucher elsewhere	1
EXCH. WITH MR. E.T. SETON, 24 MAY 1928	voucher elsewhere	1
EXCH. WITH MR. E.T. SETON, MAY 24, 1908	voucher elsewhere	1
EXCH. WITH MR. E.T. SETON, MAY 24, 1928	voucher elsewhere	1
EXCH. WITH MR. E.T. SETON, MAY 24,1928	voucher elsewhere	1
EXCH. WITH MR. E.T.SETON, MAY 24, 1928	voucher elsewhere	1
EXCH. WITH MR. E.T.SETON, MAY 24,1928	voucher elsewhere	1
EXCH. WITH MR.E.T. SETON MAY 24,1928	voucher elsewhere	1
EXCH. WITH MUNICH MUS. OCT. 1909	voucher elsewhere	1
EXCH. WITH MUNICH MUS. OCT.1909	voucher elsewhere	1
EXCH. WITH MUNICH, OCT. 1909	voucher elsewhere	1
EXCH. WITH MUS OF COMP ZOOLOGY, DEC 1922	voucher elsewhere	1
EXCH. WITH MUS. COMP. ZOOLOGY, DEC 1922	voucher elsewhere	1
EXCH. WITH MUS. OC COMP. ZOOLOGY, DEC 1922	voucher elsewhere	1
EXCH. WITH MUS. OF COMP. ZOO., DEC 1922	voucher elsewhere	1
EXCH. WITH MUS. OF COMP. ZOOLOGY, DEC 1922	voucher elsewhere	1
EXCH. WITH MUS. PAULISTA BRAZIL, MARCH 1917	voucher elsewhere	1
EXCH. WITH MUSEO NACIONAL DE HISTORIA NATURAL, BUE	voucher elsewhere	1
EXCH. WITH MUSEO PAULISTA, BRAZIL MARCH 1917	voucher elsewhere	1
EXCH. WITH O. BANGS MAY 17,'05	voucher elsewhere	1
EXCH. WITH O. BANGS SEPT 1918	voucher elsewhere	1
EXCH. WITH O. BANGS SEPT 20 1918	voucher elsewhere	1
EXCH. WITH O. BANGS SEPT 20, 1818	voucher elsewhere	1
EXCH. WITH O. BANGS SEPT 20, 1918	voucher elsewhere	1
EXCH. WITH O. BANGS SEPT 20, 1919	voucher elsewhere	1
EXCH. WITH O. BANGS SEPT. 20, 1918	voucher elsewhere	1
EXCH. WITH O. BANGS, 16 MAY 1905	voucher elsewhere	1
EXCH. WITH O. BANGS, 20 SEP 1918	voucher elsewhere	1
EXCH. WITH O. BANGS, MAY 16,'05	voucher elsewhere	1
EXCH. WITH O. BANGS, SEPT 1918	voucher elsewhere	1
EXCH. WITH O. BANGS, SEPT 20 1918	voucher elsewhere	1
EXCH. WITH O. BANGS, SEPT 20, 1918	voucher elsewhere	1
EXCH. WITH O. BANGS, SEPT 29, 1918	voucher elsewhere	1
EXCH. WITH O. BANGS. SEPT 20, 1918	voucher elsewhere	1
EXCH. WITH O. BANKS SEPT 20, 1918	voucher elsewhere	1
EXCH. WITH O. BANKS, SEPT 20, 1918	voucher elsewhere	1
EXCH. WITH O.BANGS SEPT 20, 1918	voucher elsewhere	1
EXCH. WITH O.BANGS, BOSTON JULY 19006	voucher elsewhere	1
EXCH. WITH O.BANGS, SEPT 20 1918	voucher elsewhere	1
EXCH. WITH O.BANGS, SEPT 20, 1918	voucher elsewhere	1
EXCH. WITH OUTRAM BANGS-MUSEUM COMPARATIVE ZOOLOGY	voucher elsewhere	1
EXCH. WITH P.L. SCLATER, SEP 1893	voucher elsewhere	1
EXCH. WITH PARIS MUSEUM JUNE 13, 1928	voucher elsewhere	1
EXCH. WITH PARIS MUSEUM JUNE 13,1928	voucher elsewhere	1
EXCH. WITH PARIS MUSEUM JUNE 16, 1928	voucher elsewhere	1
EXCH. WITH PARIS MUSEUM, 13 JUN 1928	voucher elsewhere	1
EXCH. WITH PARIS MUSEUM, JUNE 13, 1928	voucher elsewhere	1
EXCH. WITH PARIS MUSEUM, JUNE 13,1928	voucher elsewhere	1
EXCH. WITH PHIA.ACAD.NAT.SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHIL. ACADEMY OF NAT. SCIENCES, JUL 192	voucher elsewhere	1
EXCH. WITH PHILA ACAD. NAT. SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA ACAD. NAT.SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA ACAD.NAT.SCI., JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA ACAD.NAT.SCI., JULY, 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. NAT SCI., JUL 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. NAT. SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. NAT. SCI., JUL 192[ILLEG]	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. NAT. SCI., JUL 1925	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. NAT. SCI., JUL 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. NAT. SCI., JULY 1926	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. NAT. SCI., JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. NAT. SCIENCES, JUL 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. OF NAT SCI., JUL 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. OF NAT. SCI., JUL 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. OF NAT. SCIENCES, JUL 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD. SCI., JUL 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACAD.NAT.SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACADEMY NAT. SCI., JUL 1928	voucher elsewhere	1
EXCH. WITH PHILA. ACADEMY OF NAT. SCIENCES, JUL 19	voucher elsewhere	1
EXCH. WITH PHILA. ACADEMY OF NATURAL SCIENCES, JUL	voucher elsewhere	1
EXCH. WITH PHILA.ACAD. NAT.SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NA.SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT. SCI., JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT.HIST. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT.MUS. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT.SCI, JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT.SCI.	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT.SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT.SCI. JULY 1928 JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT.SCI. JULY, 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NAT.SCI., JULY 1928	voucher elsewhere	1
EXCH. WITH PHILA.ACAD.NT.SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH PHILAACAD.NAT.SCI. JULY 1928	voucher elsewhere	1
EXCH. WITH R. MEINERHAZEN [ILLEG.] JUNE 1981 [ILLE	voucher elsewhere	1
EXCH. WITH R. MEINERZNAGEN JUNE 1924	voucher elsewhere	1
EXCH. WITH R. MEINEZNAGEN, JUNE 1924	voucher elsewhere	1
EXCH. WITH R. MEINHERZNAGEN, JUNE 1924	voucher elsewhere	1
EXCH. WITH R. METERZHAREN [ILLEG.] JUNE 1924	voucher elsewhere	1
EXCH. WITH ROSENBERG, AUG 1929	voucher elsewhere	1
EXCH. WITH ROSENBERG-AUG. 26, 1928	voucher elsewhere	1
EXCH. WITH ROTHSCHILD COLL. WHEN COLL REC'D TO AMN	voucher elsewhere	1
EXCH. WITH S.G. JE[ILLEG]ETT, 28 OCT 1926	voucher elsewhere	1
EXCH. WITH S.G. JEWETT-OCT 1926	voucher elsewhere	1
