identificationqualifier	standard	vetted
SP. CF. PARVUS	cf. parvus	1
SP. CF. PECTINOIDES	cf. pectinoides	1
SP. CF. PHAETON	cf. phaeton	1
SP. CF. PLATICEPS	cf. platiceps	1
SP. CF. POECILURUM	cf. poecilurum	1
SP. CF. PUNCTULATUM	cf. punctulatum	1
SP. CF. RAMSEYI	cf. ramseyi	1
SP. CF. RHYTISMA	cf. rhytisma	1
SP. CF. RUBELLUS	cf. rubellus	1
SP. CF. SALAMANQUENSIS	cf. salamanquensis	1
SP. CF. SALAMANQUESIS	cf. salamanquesis	1
SP. CF. SAPO	cf. sapo	1
SP. CF. SAYLORI	cf. saylori	1
SP. CF. SEPTEMFASCIATUM	cf. septemfasciatum	1
SP. CF. SOLLASI	cf. sollasi	1
SP. CF. SPECTABILE	cf. spectabile	1
SP. CF. SPECTRUNCULUS	cf. spectrunculus	1
SP. CF. STIGMAEUM	cf. stigmaeum	1
SP. CF. SWAINI	cf. swaini	1
SP. CF. VELIFER	cf. velifer	1
SP. CF. VITREUM	cf. vitreum	1
SP. CF. VITREUS	cf. vitreus	1
SP. CF. VULGARIS	cf. vulgaris	1
SP. CF. WINCHELLI	cf. winchelli	1
SP. CF. ZONISTIUM	cf. zonistium	1
SP. CG	sp.	1
SP. CG-1	sp.	1
SP. CG-2	sp.	1
SP. 'CHACAMAX'	sp.	1
SP. 'CHOMBA'	sp.	1
SP. 'CLINCH SCULPIN'	sp.	1
SP. D	sp.	1
SP. D WITZKE AND STRIMPLE	sp.	1
SP. D.	sp.	1
SP. D0	sp.	1
SP. D1	sp.	1
SP. D2	sp.	1
SP. D3	sp.	1
SP. DEEPLY CONVEX	sp.	1
SP. DELTA	sp.	1
SP. DIV.	sp.	1
SP. E	sp.	1
SP. E WITZKE AND STRIMPLE	sp.	1
SP. E.	sp.	1
SP. E0	sp.	1
SP. E2	sp.	1
SP. 'EBANO'	sp.	1
SP. EGG CASES	sp.	1
SP. ERECT FORM	sp.	1
SP. F	sp.	1
SP. F.	sp.	1
SP. F2	sp.	1
SP. FORME A	sp.	1
SP. G	sp.	1
SP. G PRIME	sp.	1
SP. G.	sp.	1
SP. G0	sp.	1
SP. G1	sp.	1
SP. G2	sp.	1
SP. GAMMA	sp.	1
SP. GP.	sp.	1
SP. GP. 1	sp.	1
SP. GP. 2	sp.	1
SP. GP. 3	sp.	1
SP. GP. 8	sp.	1
SP. GP. 9	sp.	1
SP. 'GRAMMARION' MS	sp.	1
SP. GREEN	sp.	1
SP. H	sp.	1
SP. H SENSU RISTEDT	sp.	1
SP. H.	sp.	1
SP. H0	sp.	1
SP. H2	sp.	1
SP. 'HOLSTON SCULPIN'	sp.	1
SP. HYBRID	sp.	1
SP. I	sp.	1
SP. I OF LINDSTROM	sp.	1
SP. I SENSU RO	EK, 1984	sp.	1
SP. I.	sp.	1
SP. I0	sp.	1
SP. II	sp.	1
SP. II-A	sp.	1
SP. III	sp.	1
SP. INCERT	sp. incert.	1
SP. INCERT.	sp. incert.	1
SP. INDET	sp.	1
SP. INDET.	sp. indet.	1
SP. INDET. 1	sp.	1
SP. INDET. 1-1	sp.	1
SP. INDET. 1-2	sp.	1
SP. INDET. 2	sp.	1
SP. INDET. 3	sp.	1
SP. INDET. 4	sp.	1
SP. INDET. A	sp.	1
SP. INDET. B	sp.	1
SP. INDET. C	sp.	1
SP. INDET. D	sp.	1
SP. INDET. E	sp.	1
SP. INDET.1	sp.	1
SP. INDET.10	sp.	1
SP. INDET.11	sp.	1
SP. INDET.2	sp.	1
SP. INDET.4	sp.	1
SP. INDET.8	sp.	1
SP. IV	sp.	1
SP. J	sp.	1
SP. J SENSU RISTEDT	sp.	1
SP. J.	sp.	1
SP. J0	sp.	1
SP. J2	sp.	1
SP. JUV.	sp.	1
SP. JUVENILE	sp.	1
SP. JY	sp.	1
SP. JZ	sp.	1
SP. K	sp.	1
SP. K SENSU RISTEDT	sp.	1
SP. K.	sp.	1
SP. KIM-2	sp.	1
SP. L	sp.	1
SP. L.	sp.	1
SP. L0	sp.	1
SP. L260	sp.	1
SP. L3	sp.	1
SP. L333	sp.	1
SP. L340	sp.	1
SP. L66	sp.	1
SP. 'LANCEOLATE'	sp.	1
SP. LARGE	sp.	1
SP. LARGE TAIL NOV.SP.A	sp. nov.	1
SP. LARVA	sp.	1
SP. 'LAS FLORES'	sp.	1
SP. LEMON	sp.	1
SP. 'LEMON'	sp.	1
SP. LENTIGRIOSUM	sp.	1
SP. LINEA	sp.	1
SP. 'LINEA'	sp.	1
SP. LISSMANNI	sp.	1
SP. M	sp.	1
SP. M.	sp.	1
SP. M2	sp.	1
SP. MAGNOSTIPES	sp.	1
SP. MEDIUM	sp.	1
SP. MISSING	sp.	1
SP. MORPH A	sp.	1
SP. MORPH B	sp.	1
SP. MORPHOTYPE 15	sp.	1
SP. MORPHOTYPE 16	sp.	1
SP. N	sp.	1
SP. N.	sp.	1
SP. N. 1	sp. nov.	1
SP. N. A	sp. nov.	1
SP. N. B	sp. nov.	1
SP. N. LARGE FORM	sp. nov.	1
SP. NEW	sp. nov.	1
SP. NGOUNIENSIS	sp.	1
SP. NIGRUM	sp.	1
SP. NO. 4	sp.	1
SP. NOV	sp. nov.	1
SP. NOV 2	sp. nov.	1
SP. NOV.	sp. nov.	1
SP. NOV. (CITRINIPECTUS) CLANCY & LAWSON	sp. nov.	1
SP. NOV. (SIRINTARAE)	sp. nov.	1
SP. NOV. (SPINULOSA)	sp. nov.	1
SP. NOV. 1	sp. nov.	1
SP. NOV. 2	sp. nov.	1
SP. NOV. 2	sp. nov.	1
SP. NOV. 3	sp. nov.	1
SP. NOV. A	sp. nov.	1
SP. NOV. A CASIER AND LETHIERS 1998	sp. nov.	1
SP. NOV. A CASIER AND LETHIERS 2000	sp. nov.	1
SP. NOV. A CASIER AND LETHIERS, 2000	sp. nov.	1
SP. NOV. A SENSU CASIER AND LETHIERS (1996)	sp. nov.	1
SP. NOV. AFF. TIBETICA	sp. nov.	1
SP. NOV. ANGUSTIROSTRIS HELLMAYRI	sp. nov.	1
SP. NOV. B	sp. nov.	1
SP. NOV. BONARIENSIS	sp. nov.	1
SP. NOV. C	sp. nov.	1
SP. NOV. FITZPATRICK	sp. nov.	1
SP. NOV. G	sp. nov.	1
SP. NOV. H	sp. nov.	1
SP. NOV. MS	sp. nov.	1
SP. NZO	sp. nov.	1
SP. O	sp.	1
SP. OF "ORIENTAL VIPERS COMPLEX"	sp.	1
SP. OF "VIPERA ASPIS COMPLEX"	sp.	1
SP. OFFOUENSIS	sp.	1
SP. OJO PEQUENO	sp.	1
SP. OKANOENSIS	sp.	1
SP. 'O-LUGUBRIS'	sp.	1
SP. 'O-WALACII'	sp.	1
SP. 'O-WALLACII'	sp.	1
SP. P	sp.	1
SP. PALIDA	sp.	1
SP. PARSEGNIS	sp.	1
SP. PUFFINUS	sp.	1
SP. Q	sp.	1
SP. Q0	sp.	1
SP. R	sp.	1
SP. ROBERTSI	sp.	1
SP. RUFINA	sp.	1
SP. RW-32	sp.	1
SP. S	sp.	1
SP. S. 152	sp.	1
SP. S.CI. 124	sp.	1
SP. S.CL. 428	sp.	1
SP. S2	sp.	1
SP. SCI 170	sp.	1
SP. SCI.124	sp.	1
SP. SCISSOR TAIL	sp.	1
SP. 'SCISSOR TAIL'	sp.	1
SP. SDL.124	sp.	1
SP. SHORT SPINED	sp.	1
SP. 'SICKLEFIN'	sp.	1
SP. 'SINUOUS'	sp.	1
SP. SLENDER	sp.	1
SP. 'SLENDER'	sp.	1
SP. SMALL	sp.	1
SP. SMALL EYE	sp.	1
SP. 'SMALL TEETH'	sp.	1
SP. SMOOTH	sp.	1
SP. 'SMOOTH'	sp.	1
SP. SN3	sp.	1
SP. SN4	sp.	1
SP. SN9	sp.	1
SP. 'SPOTTED'	sp.	1
SP. STRIPED	sp.	1
SP. SUBSP. A	sp.	1
SP. SUBSP. B	sp.	1
SP. SY01	sp.	1
SP. SY02	sp.	1
SP. SY03	sp.	1
SP. SY04	sp.	1
SP. SY05	sp.	1
SP. SY06	sp.	1
SP. SY07	sp.	1
SP. SZABOI	sp.	1
SP. T	sp.	1
SP. T0	sp.	1
SP. T001	sp.	1
SP. T002	sp.	1
SP. T003	sp.	1
SP. T004	sp.	1
SP. T005	sp.	1
SP. T006	sp.	1
SP. T007	sp.	1
SP. T008	sp.	1
SP. T009	sp.	1
SP. T010	sp.	1
SP. T011	sp.	1
SP. T012	sp.	1
SP. T013	sp.	1
SP. T015	sp.	1
SP. T016	sp.	1
SP. T017	sp.	1
SP. T018	sp.	1
SP. T019	sp.	1
SP. T02	sp.	1
SP. T022	sp.	1
SP. T023	sp.	1
SP. T024	sp.	1
SP. T025	sp.	1
SP. T026	sp.	1
SP. T027	sp.	1
SP. T028	sp.	1
SP. T029	sp.	1
SP. T030	sp.	1
SP. T032	sp.	1
SP. TAIL MOYENNE,NOV.SP.B	sp. nov.	1
SP. 'TALLAPOOSA SCULPIN'	sp.	1
SP. 'TEAPA'	sp.	1
SP. TENUICAUDA	sp.	1
SP. 'THICK'	sp.	1
SP. TINY	sp.	1
SP. TIPO A	sp.	1
SP. TIPO B	sp.	1
SP. TIPO C	sp.	1
SP. TS2	sp.	1
SP. TS3	sp.	1
SP. TYPE 1	sp.	1
SP. TYPE I	sp.	1
SP. TYPE II	sp.	1
SP. U	sp.	1
SP. UNDET.	sp.	1
SP. UNDET. 1	sp.	1
SP. UNNAMED	sp.	1
SP. V	sp.	1
SP. VADAMANS	sp.	1
SP. VARIANT	sp.	1
SP. VEL JUGLANS SP.	sp.	1
SP. VII	sp.	1
SP. W	sp.	1
SP. W1	sp.	1
SP. W2	sp.	1
SP. W4	sp.	1
SP. WHITE-CHEST	sp.	1
SP. X	sp.	1
SP. X SP.	sp. X sp.	1
SP. X VENUSTUS	sp. X venustus	1
SP. Y	sp.	1
SP. Z	sp.	1
SP. Z0	sp.	1
SP.	sp.	1
SP., LAGENID	sp.	1
SP..	sp.	1
SP.;	sp.	1
SP.”VENTUARI”	sp.	1
SP.1	sp.	1
SP.10	sp.	1
SP.11	sp.	1
SP.12	sp.	1
SP.1-2	sp.	1
SP.13	sp.	1
SP.14	sp.	1
SP.15	sp.	1
SP.16	sp.	1
SP.17	sp.	1
SP.18	sp.	1
SP.19	sp.	1
SP.2	sp.	1
SP.21	sp.	1
SP.3	sp.	1
SP.4	sp.	1
SP.4 (CF.DIASTEMA)	cf. diastema	1
SP.4.	sp.	1
SP.5	sp.	1
SP.6	sp.	1
SP.7	sp.	1
SP.8	sp.	1
SP.9	sp.	1
SP.A	sp.	1
SP.A.	sp.	1
SP.A`	sp.	1
SP.B	sp.	1
SP.B (CF.BRANSFORDII)	cf. bransfordii	1
SP.B SENSU HULL 1997	sp.	1
SP.C	sp.	1
SP.CF. WINCHELLI	cf. winchelli	1
SP.D	sp.	1
SP.E	sp.	1
SP.F	sp.	1
SP.G	sp.	1
SP.H	sp.	1
SP.I	sp.	1
SP.III (C.F.CRUENTES)	cf. cruentes	1
SP.INDET.	sp.	1
SP.J	sp.	1
SP.JUV.	sp.	1
SP.K	sp.	1
SP.L	sp.	1
SP.M	sp.	1
SP.N	sp.	1
SP.N.	sp.	1
SP.--NOT M. MOGOLLONENSIS	sp.	1
SP.NOV.	sp. nov.	1
SP.NOV.-LAETOLI	sp. nov.	1
SP.O	sp.	1
SP.'O-WALACII'	sp.	1
SP.Q	sp.	1
SP.R	sp.	1
SP.S	sp.	1
SP.SCL.107	sp.	1
SP.T	sp.	1
SP.U	sp.	1
SP.X	sp.	1
SP?	species in question	1
SP?, WORN	species in question	1
SP?; L > 4MM (WEIL 2004)	species in question	1
SP?; NOT AVAILABLE TO GPW	species in question	1
SP?; NOT ID-ABLE TO SP. (WEIL 2004)	species in question	1
SPARVERIA (SUBSP.)	ssp.	1
SPCF	cf.	1
SPECIES IN QUESTION	species in question	1
SPECIES QUESTIONED	species in question	1
SPECIES: "	sp.	1
SPECIES: ?	species in question	1
SPECIES: AFF.	aff.	1
SPECIES: CF.	cf.	1
SPECIES: EX GR.	ex gr.	1
SPECIES: INFORMAL	informal	1
SPECIES: N. SP.	sp. nov.	1
SPECIES: SENSU LATO	sensu lato	1
SPIRALOCUCULLATA SP. INED.	sp	1
SS ?	subspecies in question	1
SS CF	cf.	1
SSP	ssp.	1
SSP.	ssp.	1
SSP.A	ssp.	1
STICTOS N.SP.	sp. nov.	1
SUBADULT		1
SUBADULT?		1
SUBCL. ELASMOBRANCHII		1
SUBGENUS: "		1
SUBGENUS: " | AFF.		1
SUBGENUS: " | CF.		1
SUBGENUS: " | N. SP.	sp. nov.	1
SUBGENUS: ?	subgenus in question	1
SUBGENUS: ? | ?	subgenus in question	1
SUBGENUS: ? | AFF.	aff.	1
SUBGENUS: ? | CF.	cf.	1
SUBGENUS: ? | N. SP.	sp. nov.	1
SUBGENUS: AFF.	aff.	1
SUBGENUS: AFF. | AFF.	aff.	1
SUBGENUS: AFF. | INFORMAL	aff.	1
SUBGENUS: CF.	cf.	1
SUBGENUS: CF. | CF.	cf.	1
SUBGENUS: CF. | INFORMAL	cf.	1
SUBGENUS: EX GR.	ex gr.	1
SUBGENUS: INFORMAL	informal	1
SUBGENUS: INFORMAL | CF.	cf.	1
SUBGENUS: INFORMAL | INFORMAL	informal	1
SUBGENUS: N. SUBGEN.	subgen. nov.	1
SUBGENUS: N. SUBGEN. | CF.	subgen. nov.	1
SUBGENUS: N. SUBGEN. | N. SP.	subgen. nov.	1
SUBORDER= ACANTHUROIDEI		1
SUBSP CF	cf.	1
SUBSP. 	ssp.	1
SUBSP. INDET.	ssp.	1
SUBSPECIES IN QUESTION	subspecies in question	1
SUBSPECIES QUESTIONED	subspecies in question	1
SUBSPECIES UNCERTAIN	subspecies in question	1
SUBTAXON (VIPERA SP. "ORIENTAL VIPERS" OR DABOIA SP.)	genus in question	1
SULCATE SP.	sp.	1
SUSANAE N. SP.	sp. nov.	1
TABIRA SSP. 1	ssp.	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS AND SPECIES UNCERTAIN, FAMILY IDENTIFIED; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS ? SPECIES ?, FAMILY KNOWN;	genus in question	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS AND SPECIES UNKNOWN, FAMILY IDENTIFIED; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS BLANK AND SPECIES BLANK OR "SP.", FAMILY KNOWN;	genus in question	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS IDENTIFIED, SPECIES UNCERTAIN; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS SPECIES ? OR ("SPECIES 1/A OR SPECIES 2/B") OR "AFFIN";	sp.	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS IDENTIFIED, SPECIES UNKNOWN; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS "SP.";	sp.	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS UNCERTAIN, SPECIES UNKNOWN, FAMILY IDENTIFIED; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS ? "SP." BUT FAMILY KNOWN;	genus in question	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: GENUS, SPECIES AND FAMILY UNCERTAIN; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS ? SPECIES ? FAMILY ?;	family in question	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: SOME UNCERTAINTY AS TO IDENTIFICATION; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: COMMON NAME ? OR "IDENTITY UNCERTAIN" IN NOTES;	id in question	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: SUBSPECIES UNCERTAIN; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS SPECIES SUBSPECIES ?;	ssp.	1
TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERNAME: UNIDENTIFIED; TBLIDENTIFICATIONQUALIFIER.IDENTQUALIFIERCODE: GENUS AND SPECIES AND FAMILY VACANT OR BLANK;		1
TENT SP	species in question	1
TENUE SP. NOV.	sp. nov.	1
TRIBE: MICROTINI		1
TRIMERORHACHIS ALSO		1
UINTASORICINAE		1
UNIDENTATA PARV		1
UNIDENTATA PRAS		1
UNIDENTATA SEBE		1
UNIDENTIFIED		1
UNIDENTIFIED GEN. ET SP. 1	gen. indet.	1
UNIDENTIFIED GEN. ET SP. 2	gen. indet.	1
V. LARGE SP.	sp.	1
VENTRITE SP. 1	sp.	1
VENUSTA X SP.	venusta X sp.	1
VERY LARGE SP.	sp.	1
VESPERTILIONOIDEA CF FM	cf.	1
VIVAX X SP.	vivax X sp.	1
WAITE & LONGMAN, 1920		1
WEBSTERI SP.NOV.	sp. nov.	1
WHITE SP.	sp.	1
WIDE, MULTIPLICATE SP.	sp.	1
WILLII GEN & SP		1
WOOD-MASONI N.	sp. nov.	1
WORN		1
WORN, NOT ID-ABLE (WEIL 2004)		1
X "HYBRID"	x hybrid	1
X AMERICANA	x americana	1
X CAERULESCENS	x caerulescens	1
X CAFER	x cafer	1
X GENUS CHANGED FROM AMPHISPIZA ACCORDING TO CLEMENTS 6.7		1
X GEOLTHLYPIS	x geolthlypis	1
X HARLANI	x harlani	1
X HYBRID	x hybrid	1
X LUPUS	x lupus	1
X LUTEUS	x luteus	1
X MACROVRA	x macrovra	1
X OREGANUS	x oreganus	1
X PUNCTULATA	x punctulata	1
X TOLMIEI	x tolmiei	1
X VIRGINIANUS	x virginianus	1
